b,a,category,factor_count,is_reciprocal_pair
2,1,Case 3,2,True
2,5,Case 3,2,True
2,13,Case 3,4,False
2,17,Case 3,2,True
2,19,Case 3,2,True
2,23,Case 3,4,False
2,31,Case 3,2,True
2,37,Case 3,4,False
2,49,Case 3,4,False
2,53,Case 3,2,True
2,71,Case 3,4,False
2,73,Case 3,4,False
2,89,Case 3,2,True
2,113,Case 3,2,True
2,121,Case 3,4,False
2,157,Case 3,4,False
2,193,Case 3,4,False
2,233,Case 3,6,False
2,235,Case 3,6,False
2,257,Case 3,2,True
2,275,Case 3,8,False
2,293,Case 3,6,False
2,337,Case 3,8,False
2,341,Case 3,6,False
2,365,Case 3,2,True
2,427,Case 3,6,False
2,431,Case 3,8,False
2,473,Case 3,6,False
2,521,Case 3,6,False
2,523,Case 3,6,False
2,539,Case 3,4,False
2,557,Case 3,6,False
2,719,Case 3,4,False
2,949,Case 3,8,False
4,1,Case 3,2,True
4,11,Case 3,4,False
4,17,Case 3,2,True
4,19,Case 3,2,True
4,25,Case 3,4,False
4,29,Case 3,2,True
4,55,Case 3,2,True
4,73,Case 3,4,False
4,79,Case 3,2,True
4,83,Case 3,4,False
4,89,Case 3,2,True
4,91,Case 3,2,True
4,97,Case 3,4,False
4,101,Case 3,6,False
4,119,Case 3,4,False
4,125,Case 3,6,False
4,127,Case 3,6,False
4,179,Case 3,4,False
4,187,Case 3,10,False
4,209,Case 3,6,False
4,233,Case 3,6,False
4,331,Case 3,6,False
4,395,Case 3,4,False
4,425,Case 3,6,False
4,443,Case 3,4,False
4,449,Case 3,6,False
4,469,Case 3,4,False
4,503,Case 3,4,False
4,505,Case 3,4,False
4,515,Case 3,8,False
4,539,Case 3,8,False
4,565,Case 3,4,False
4,601,Case 3,4,False
4,619,Case 3,2,True
4,631,Case 3,6,False
4,659,Case 3,8,False
4,727,Case 3,10,False
4,845,Case 3,6,False
4,865,Case 3,8,False
4,997,Case 3,12,False
6,1,Case 3,2,True
6,7,Case 3,4,False
6,19,Case 3,2,True
