b     | Case 1 (Sym) Case 2 (Mix) Case 3 (Asym) | Total Valid a
-----------------------------------------------------------------
1     | 131          869          0            | 1000
2     | 48           418          34           | 500
3     | 92           575          0            | 667
4     | 65           395          40           | 500
5     | 107          693          0            | 800
6     | 32           255          46           | 333
7     | 135          723          0            | 858
8     | 63           402          35           | 500
9     | 75           592          0            | 667
10    | 26           343          31           | 400
11    | 114          796          0            | 910
12    | 24           264          45           | 333
13    | 150          774          0            | 924
14    | 30           366          33           | 429
15    | 81           452          0            | 533
16    | 66           395          39           | 500
17    | 109          833          0            | 942
18    | 22           273          38           | 333
19    | 128          820          0            | 948
20    | 49           324          27           | 400
21    | 66           506          0            | 572
22    | 33           382          40           | 455
23    | 103          854          0            | 957
24    | 22           272          39           | 333
25    | 95           705          0            | 800
26    | 39           391          32           | 462
27    | 53           614          0            | 667
28    | 52           348          29           | 429
29    | 123          843          0            | 966
30    | 23           205          38           | 266
31    | 168          800          0            | 968
32    | 57           415          28           | 500
33    | 69           538          0            | 607
34    | 25           410          36           | 471
35    | 78           608          0            | 686
36    | 21           272          40           | 333
37    | 111          862          0            | 973
38    | 37           397          40           | 474
39    | 76           540          0            | 616
40    | 35           337          28           | 400
41    | 120          856          0            | 976
42    | 24           225          37           | 286
43    | 99           878          0            | 977
44    | 52           371          32           | 455
45    | 59           474          0            | 533
46    | 36           409          33           | 478
47    | 122          857          0            | 979
48    | 21           278          34           | 333
49    | 100          758          0            | 858
50    | 25           347          28           | 400
51    | 64           564          0            | 628
52    | 55           378          29           | 462
53    | 108          874          0            | 982
54    | 18           278          37           | 333
55    | 80           648          0            | 728
56    | 56           351          22           | 429
57    | 63           569          0            | 632
58    | 38           417          28           | 483
59    | 96           888          0            | 984
60    | 21           209          36           | 266
61    | 119          865          0            | 984
62    | 38           417          29           | 484
63    | 90           482          0            | 572
64    | 49           411          40           | 500
65    | 74           665          0            | 739
66    | 20           245          38           | 303
67    | 104          882          0            | 986
68    | 43           395          33           | 471
69    | 63           575          0            | 638
